Aachen	5B53CB	Aachener
Kurdistan	7EC960	Kurdish
Latvia	B3ACBF	Latvian
Lebanon	C8EA85	Lebanese
Leinster	36B595	Leinsterish
Leon	87206B	Leonese
Libya	1A352D	Libyan
Liege	4A6356	Liegian
Limburg	2D558E	Limburgish
Limousin	C5C5DB	Limousiner
Lippe	AD5E71	Lippish
Lithuania	93386C	Lithuanian
Livonian Order	72245F	Livonian
Lombardy	74BF75	Lombard
Lorraine	7A92CC	Lorrainian
Lotharingia	B871AD	Lotharingian
Lubeck	99B3BF	Lubecker
Lucca	90FF4C	Luccan
Luneburg	7C8F59	Luneburgish
Lusatia	D99D16	Lusatian
Luxembourg	5ABBE7	Luxembourgian
Macedon	5F5F77	Macedonian
Macedonia	7B7899	Macedonian
Magdeburg	D3748F	Magdeburgish
Mainz	C174B2	Mainzian
Majorca	61373B	Majorcan
Malta	C1227D	Maltese
Mamluks	D3B550	Mamlukean
Mann	644751	Mann
Mantua	BF4C5F	Mantuan
Mazovia	D3CFBA	Mazovian
Mecklenburg	31898C	Mecklenburgish
Memmingen	C13243	Memmingenian
Menteshe	55912F	Menteshid
Mercia	385487	Mercian
Milan	672F65	Milanese
Modena	4E8000	Modenese
Moldavia	8C911F	Moldavian
Moldova	A9BC9A	Moldovan
Montenegro	65B2B2	Montenegrin
Montferrat	74B72C	Montferratian
Moravia	412C56	Moravian
Morea	4E5B99	Morean
Morocco	934333	Moroccan
Munster	23698C	Munsterish
Murcia	8E795F	Murcian
Muscovy	CCAB3F	Muscovite
Mzab	F98704	Mzabi
Naples	5A2293	Neopolitan
Nassau	A3C6BA	Nassuvian
Navarre	33553B	Navarrese
Nicaea	A01B88	Nicaean
Nitra	109AB2	Nitran
Nogai	2C7E8E	Nogai
Normandy	AB0C0F	Norman
Northumbria	5E9E8F	Northumbrian
Norway	264A59	Norwegian
Novgorod	40682E	Novgorodian
Nuremberg	CEA080	Nurembergish
Occitania	2C6D82	Occitanian
Oldenburg	8C7D74	Oldenburgish
Ormond	C1C625	Ormondish
Osnabruck	ADB071	Osnabruckian
Ottomans	A57051	Ottoman
Padania	3AB77F	Padanian
Paderborn	BF50C9	Paderbornish
Palestine	9B814D	Palestinian
Parma	FFFF00	Parmesan
Pergamon	DBDBED	Pergamonese
Picardy	C1B5C1	Picard
Pisa	2EDBA1	Pisan
Poitou	9FBAFF	Poitou
Poland	BF5D7C	Polish
Polotsk	794DA0	Polotskian
Pomerania	4B8E27	Pomeranian
Portugal	42A563	Portuguese
Provence	539EA0	Provencal
Prussia	194668	Prussian
Pskov	70A581	Pskovian
Ragusa	9E609C	Ragusan
Ramazan	B20000	Ramanid
Ravensburg	506FC4	Ravensburgish
Regensburg	6BB7D3	Regensburgish
Riga	9D87C1	Rigan
Roman Empire	A30061	Roman
Romania	007891	Romanian
Rostov	FFBE9C	Rostovian
Rum	238BA3	Rumi
Rumelia	B55E8B	Rumelian
Russia	617F52	Russian
Ruthenia	5B5950	Ruthenian
Ryazan	3D92FF	Ryazanian
Saarbrucken	405DA0	Saarish
Salonika	263575	Salonikan
Salzburg	C4722B	Salzburgish
Samogitia	D6537C	Samogitian
Sapmi	CCC73B	Sami
Sardinia	1E3D4B	Sardinian
Sardinia-Piedmont	44CEE7	Sardinian
Savoy	E5CEDC	Savoyard
Saxony	8990B2	Saxon
Scotland	F7D200	Scottish
Semigallia	527277	Semigallian
Serbia	755353	Serbian
Sicily	E29790	Sicilian
Siena	999E6B	Sienese
Silesia	61A063	Silesian
Slavonia	235F87	Slavonian
Sligo	BA8DC9	Sligoish
Slovakia	253F7A	Slovak
Slovenia	41586B	Slovenian
Smolensk	8ABC47	Somlenskian
Spain	F1C232	Spanish
Sparta	9E850B	Spartan
Strassburg	96880A	Strassburgish
Styria	006600	Styrian
Suzdal	933C50	Suzdalian
Swabia	A7B79C	Swabian
Sweden	0F5199	Swedish
Switzerland	6B2121	Swiss
Syria	588A8E	Syrian
Teutonic Order	414C48	Teutonic
Teutonic Prussia	486175	Prussian
The Knights	FF429D	Hospitaller
The Netherlands	E58900	Dutch
The Palatinate	52968F	Palatine
The Papal States	E0E5CE	Papal
Theodoro	290F33	Theodoran
Thomond	5B777A	Thomondish
Thrace	82766F	Thracian
Thuringia	6C5E99	Thuringian
Tlemcen	2C4370	Tlemceni
Toulouse	8E8254	Toulousian
Transylvania	381172	Transylvanian
Trebizond	2FBFBF	Trapezuntine
Trier	CC6128	Trierian
Tripoli	275963	Tripolitan
Tuggurt	1E7A74	Tuggurtian
Tunis	B58F72	Tunisian
Tunisia	7F2336	Tunisian
Turkey	AA6940	Turkish
Tuscany	8E889F	Tuscan
Tver	838335	Tverian
Two Sicilies	88CEA4	Duosicilian
Tyrconnel	26AACC	Tyrconnelish
Tyrol	7474AF	Tyrolean
Tyrone	826D62	Tyronish
Ukraine	3C87D1	Ukrainian
Ulm	A0A0A0	Ulmer
Ulster	F2DDAB	Ulsterish
United Baltic States	478691	Baltic
United Carpathian States	7F6E0E	Union
United Kingdom	A52929	British
United Scandinavia	226696	Scandinavian
Utrecht	DFA840	Utrechtian
Valencia	00619E	Valencian
Venice	229696	Venetian
Verden	E5D41D	Verdenese
Vidin	9B2F5E	Vidini
Visegrad Union	884F75	Visegrad
Vojvodina	D8A217	Vojvodina
Volhynia	4D5B26	Volhynian
Wales	16A02B	Welsh
Wallachia	548275	Wallachian
Wallonia	2B2112	Walloon
Wessex	C16154	Wessex
Westphalia	E8CBA9	Westphalian
Wurttemberg	34824E	Wurttembergish
Wurzburg	893478	Wurzburgish
Yaroslav	6D3E2B	Yaroslavian
Yugoslavia	6B7899	Yugoslav
